sku,title,description,category,material,origin_district,price_rwf,artisan_id,is_local
RW-0079,denim baby outfit set,"Adorable denim baby clothing set with soft Rwandan-printed fabric, safe for infants.",apparel,denim,Kirehe,30500,ART-020,True
RW-0266,cow horn anklet with charms,cow horn anklet featuring small charms inspired by Lake Kivu waves.,jewellery,cow-horn,Nyarugenge,33500,ART-030,True
RW-0064,cotton baby outfit set,"Adorable cotton baby clothing set with soft Rwandan-printed fabric, safe for infants.",apparel,cotton,Kicukiro,37500,ART-003,True
RW-0029,Handwoven denim scarf,Soft handwoven denim scarf with intricate patterns inspired by Rwandan hill landscapes.,apparel,denim,Gasabo,21000,ART-011,True
RW-0258,wood necklace Rwandan design,Statement wood necklace with pendant inspired by traditional Rwandan royal jewellery.,jewellery,wood,Rutsiro,29000,ART-045,True
RW-0222,raffia wine bottle holder,"Unique raffia wine bottle holder, a conversation starter and perfect gift.",basketry,raffia,Nyabihu,29000,ART-052,True
RW-0067,silk dress with African print,"Elegant silk dress featuring hand-dyed African prints, perfect for formal and casual occasions.",apparel,silk,Kayonza,12500,ART-080,True
RW-0094,recycled leather keychain set,"Set of three recycled leather keychains with hand-stamped initials, great as gifts.",leather,recycled-leather,Rwamagana,44000,ART-035,True
RW-0301,cow horn ring geometric,"Geometric cow horn ring with clean lines, available in multiple sizes.",jewellery,cow-horn,Gicumbi,34500,ART-068,True
RW-0328,recycled glass lamp shade,"Unique recycled glass lamp shade casting warm patterned light, handmade by local craftspeople.",home-decor,recycled-glass,Rusizi,35500,ART-065,True
RW-0283,recycled metal anklet with charms,recycled metal anklet featuring small charms inspired by Lake Kivu waves.,jewellery,recycled-metal,Kirehe,50000,ART-020,True
RW-0066,cotton dress with African print,"Elegant cotton dress featuring hand-dyed African prints, perfect for formal and casual occasions.",apparel,cotton,Gakenke,18500,ART-004,True
RW-0177,sweetgrass tray woven,"Flat woven sweetgrass tray, ideal for serving or as a centrepiece, with zigzag pattern.",basketry,sweetgrass,Kirehe,16000,ART-046,True
RW-0265,silver ring geometric,"Geometric silver ring with clean lines, available in multiple sizes.",jewellery,silver,Bugesera,9500,ART-023,True
RW-0349,wood wall art Imigongo,"Imigongo-style wood wall art panel, traditional cow-dung painting technique.",home-decor,wood,Kayonza,29000,ART-038,True
RW-0239,Agaseke peace basket banana leaf,"Traditional Rwandan agaseke peace basket woven from banana leaf, symbolising unity and reconciliation.",basketry,banana-leaf,Kayonza,34000,ART-074,True
RW-0231,raffia placemat set of 4,"Set of four raffia placemats with coordinated colour patterns, handwoven.",basketry,raffia,Kicukiro,22000,ART-013,True
RW-0392,banana bark incense burner,Artisan banana bark incense burner with ventilation slots and ash catcher tray.,home-decor,banana-bark,Nyamasheke,53500,ART-012,True
RW-0329,clay wall art Imigongo,"Imigongo-style clay wall art panel, traditional cow-dung painting technique.",home-decor,clay,Gicumbi,53000,ART-026,True
RW-0163,banana leaf wall hanging decorative,Decorative banana leaf wall hanging with geometric Imigongo-inspired patterns.,basketry,banana-leaf,Nyarugenge,11000,ART-056,True
RW-0065,cotton headwrap igitenge,"Vibrant cotton headwrap (igitenge) in bold colours, a staple of Rwandan fashion.",apparel,cotton,Huye,44500,ART-029,True
RW-0038,cotton skirt with embroidery,Flowing cotton skirt with hand-stitched embroidery from local artisans.,apparel,cotton,Gasabo,32000,ART-016,True
RW-0295,wood anklet with charms,wood anklet featuring small charms inspired by Lake Kivu waves.,jewellery,wood,Nyagatare,30000,ART-006,True
RW-0210,papyrus storage basket large,"Large papyrus storage basket with lid, handwoven by women's cooperative artisans.",basketry,papyrus,Nyarugenge,23000,ART-030,True
RW-0394,ceramic photo frame,"Rustic ceramic photo frame with hand-carved border, fits 5×7 inch photo.",home-decor,ceramic,Bugesera,56000,ART-039,True
RW-0211,sweetgrass wine bottle holder,"Unique sweetgrass wine bottle holder, a conversation starter and perfect gift.",basketry,sweetgrass,Nyagatare,2000,ART-077,True
RW-0270,wood ring geometric,"Geometric wood ring with clean lines, available in multiple sizes.",jewellery,wood,Kayonza,27000,ART-074,True
RW-0246,recycled metal bracelet layered,"Layered recycled metal bracelet set with adjustable clasp, great for stacking.",jewellery,recycled-metal,Rwamagana,23000,ART-040,True
RW-0369,wood incense burner,Artisan wood incense burner with ventilation slots and ash catcher tray.,home-decor,wood,Gasabo,25500,ART-064,True
RW-0368,clay incense burner,Artisan clay incense burner with ventilation slots and ash catcher tray.,home-decor,clay,Huye,23500,ART-050,True
INTL-L001,Timberland cow leather boots waterproof,"Premium waterproof cow leather boots with rubber sole, built for all-day comfort and durability.",leather,cow-leather,,120000,,False
INTL-L002,Dr Martens leather boots classic,"Iconic leather boots with air-cushioned sole and classic stitching, a wardrobe staple.",leather,cow-leather,,140000,,False
INTL-L003,Coach leather handbag women premium,"Premium leather handbag with polished hardware, interior pockets, and signature lining.",leather,cow-leather,,250000,,False
INTL-L004,Fossil leather wallet slim card holder,"Slim bifold leather wallet with multiple card slots, coin pocket, and hand-finished edges.",leather,cow-leather,,55000,,False
INTL-L005,Adidas leather sandals comfort sport,"Leather sandals with cushioned footbed and adjustable straps, perfect for everyday wear.",leather,cow-leather,,75000,,False
INTL-L006,Clarks leather sandals women cushioned,"Women's leather sandals with Clarks cushion plus technology, open-toe summer style.",leather,goat-leather,,90000,,False
INTL-L007,Samsonite leather laptop sleeve protection,"Padded leather laptop sleeve with water-resistant lining, fits 13 to 15 inch laptops.",leather,cow-leather,,65000,,False
INTL-L008,Moleskine leather journal cover classic,"Classic leather journal cover with elastic closure, bookmark ribbon, and inner pocket.",leather,cow-leather,,48000,,False
INTL-A001,H&M cotton shirt men slim fit,"Men's slim-fit cotton shirt with button-down collar, available in multiple colours.",apparel,cotton,,18000,,False
INTL-A002,Zara linen dress women summer,"Lightweight linen dress with V-neck and side pockets, ideal for warm weather.",apparel,linen,,32000,,False
INTL-A003,Uniqlo cotton trousers ankle length,"Ankle-length cotton trousers with elastic waistband and relaxed fit, wrinkle-resistant.",apparel,cotton,,22000,,False
INTL-A004,Gap cotton baby outfit set newborn,"Soft cotton baby outfit set including bodysuit and trousers, gentle on newborn skin.",apparel,cotton,,14000,,False
INTL-A005,ASOS silk blouse women printed,"Flowy silk blouse with abstract print, relaxed fit and cuffed sleeves.",apparel,silk,,28000,,False
INTL-A006,Primark cotton headwrap women,"Stretch cotton headwrap in bold solid colours, one size fits all.",apparel,cotton,,5000,,False
INTL-B001,IKEA woven storage basket synthetic large,"Large synthetic woven storage basket with handles, stackable and easy to clean.",basketry,sisal,,12000,,False
INTL-B002,Pottery Barn woven fruit bowl kitchen,"Hand-woven fruit bowl for kitchen countertop display, sturdy and decorative.",basketry,sweetgrass,,20000,,False
INTL-B003,Amazon Basics woven placemat set 4,"Set of 4 woven placemats, easy to wipe clean, heat resistant up to 120 degrees.",basketry,raffia,,9000,,False
INTL-B004,West Elm woven wine bottle holder,"Woven wine bottle holder in natural fibres, holds one standard bottle upright.",basketry,sisal,,11000,,False
INTL-J001,Pandora silver necklace charm women,"Sterling silver necklace with signature charm, lobster clasp, and gift box included.",jewellery,silver,,85000,,False
INTL-J002,Swarovski crystal earrings drop women,"Drop earrings with Swarovski crystals set in rhodium-plated brass, hypoallergenic posts.",jewellery,recycled-metal,,72000,,False
INTL-J003,Tiffany brass ring simple band,"Simple polished brass band ring, unisex design available in all sizes.",jewellery,brass,,95000,,False
INTL-J004,Alex and Ani silver bracelet layered,"Expandable wire silver bracelet with charm, designed for layering and stacking.",jewellery,silver,,38000,,False
INTL-J005,Cufflinks Inc silver cufflinks formal,"Polished silver cufflinks for formal shirts, engraved geometric face, gift boxed.",jewellery,silver,,42000,,False
INTL-J006,H Samuel silver brooch vintage floral,"Vintage-style floral brooch in sterling silver, pin fastening, gift wrapped.",jewellery,silver,,35000,,False
INTL-H001,IKEA ceramic vase modern minimalist,"Minimalist ceramic vase in matte finish, suitable for dried or fresh flowers.",home-decor,ceramic,,8500,,False
INTL-H002,Crate and Barrel glass serving bowl large,"Large clear glass serving bowl, dishwasher safe, elegant centrepiece for any table.",home-decor,recycled-glass,,16000,,False
INTL-H003,Bamboo Zen coasters set 6 bamboo,"Set of 6 natural bamboo coasters with cork backing, heat and moisture resistant.",home-decor,bamboo,,7000,,False
INTL-H004,West Elm ceramic candle holder set,"Set of three ceramic candle holders in graduated sizes, matte glazed finish.",home-decor,ceramic,,22000,,False
INTL-H005,Umbra wood photo frame 5x7,"Modern wood photo frame for 5x7 inch prints, tabletop or wall mount, natural finish.",home-decor,wood,,11000,,False
INTL-H006,IKEA bamboo lamp shade pendant,"Pendant lamp shade in natural bamboo weave, creates warm diffused light effect.",home-decor,bamboo,,19000,,False
